Kommentaar,Staatus,Pos,Neg
zoopargis pärdikute puuri ees võiksid esineda-mõlemal pool võret on siis rõõmus äratundmine !,2,4,12
see sama tibi lõpuks ju vägistati ja tapeti ära pagulase käe läbi!,2,2,13
õppige ära tõmmake na..ui siit! musta nahaga lauljad! Sõnaraamatu järgi ikkagi neegrid!,2,8,29
kes neid sigu kuulata tahab?,2,6,12
"a... oot... et.... nahaga teevad muusikat, et selle värv on oluline või niisama pabulaspro lobi?",2,4,15
" SUITSETAMINE ---Joomine koos meestega ,,ja siis Tahab Rahmimist saada iga Mehega---peenisega;",2,0,1
 See kõnts haakub nagu katk . Varsti teevad meeste bordelli kus valged naised saavad tutti venitada. BIG COCK. ,2,10,13
ruberoide me ei salli!,2,10,29
Tublid mehed. Pange aga tagant!,2,15,6
"See tähendab ühemötteliselt l.tsi. Kao nende"" teadlastega"" neegritemaale. Aitab",2,5,25
Valgust on ruumi tõesti vaja sest hämaras pole neid ju näha.,2,5,36
Mitte mingi kuuskedemõrvarite linn Tartu,2,6,2
"Jah, aga pätid ju lammutasid selle ära ja varastasid mööbli ja kõik varad. Karla katedraali ka lõhkusid maha.",1,3,9
"valge mees,neegri naisel t--a sees.Ära solvu,anna talle lonti ka.",2,8,10
PARIM PRESIDENT MAAILMAS,2,11,6
"Oh kurat vai veel kirikumuusika,no kes seda veel kuulab aga noortel eesti litsikestel on lõikust.",2,8,24
HAIGED OLEVUSED,2,2,2
"tuleks ka, saab munadega loopida!",2,9,23
"eesti pole aafrika , siin on ahvi koht loomaaias, mitte tänaval haisemas.",2,10,24
Isegi Edgar ei saanud esimesena Putini käest!,2,3,12
"ei meeldi kellegile paks tagumit , lepitakse lihtsalt",2,2,6
Mina nägin karja kiimas ahve mitte bändi !,2,7,46
"pöidlad pihku,et nende neegrite õpingud Eestis varsti läbi saaksid,et nad siit koju ära kobiks.",2,5,65
AHVID VÄLJA EESTIST,2,3,12
Kas need tüübid pole mitte suures osas seadusega pahuksis olnud? Uimastid on nende üks sõnum...,2,4,53
KASIGE BANAANE KORJAMA,2,4,16
 pabulaskeskuses ,2,3,18
"kas seepi pole ,et must nahk puhtaks pesta enne kui assambleetada",2,11,22
Kui kohalikud nahkpead ei suuda põhikoolist kaugemale jõuda. ,2,12,19
Neegri koht on suhkrurooistanduses tööl mitte ülikoolis.,2,21,18
"Loodetavasti kukkus käbi seekord kännust kaugele, teist sellist lupardit Eesti riik üle ei ela.",1,2,11
aga sina oled sõrmega tehtud.,2,4,5
"see produtsent nagu üldse ei saa aru, mis asi korvpall on? tore on arvamuste paljusus, aga siukest jama küll ei viitsi kuulata, sorri.",2,0,0
pooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooohuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii!,2,1,1
" Teile tuleb esmalt hamba peale anda ja siis suhu sittuda. Kui te oma sitaauku ei kasuta sihtotstarbeliselt, siis ei pea te ka oma suud mitte sihtotstarbeliselt kasutama. Vot nii.",2,0,2
"Muidugi olid need pildid seal TÄIESTI SÜÜTUTEL põhjustel, ilmselt häkkerid sokutasid. Vaesed pagulased pildistavad vabal ajal ikka lilli ja liblikaid.",1,0,137
"Käi p***se Neeme. Kes oled sina ütlemaks, kes on täie mõistusega ja kes mitte. Krdi hipiharakas ja teenuseline protestija. Kas raamatu põletamise tellimus tuli EKRE-lt? Raamat, kui selline, on kunstivorm. Olenemata, millest seal kirjutatakse. Sama hooga edasi laskmisel, tuleks pea kõik erinevad raamatud põlema panna, kuna nende sisu ei pruugi kõigile meeldida. Samamoodi tuleks kõik maalid põlema panna.... Ka seal on teemasid, mis just igaühele ei sobi.... Üldse võiks kõik maha põletada ja hävitada. Mulle ei meeldi üks maja naabertänaval.... kuidagi jube gei näeb välja... Tuli otsa! Niisiis - Neeme kummardajad ja austajad - tulistage nüüd, et olen homoaktivist! Teadmiseks, et ma seda kohe mitte ei ole. Kuid mind ajab jubedalt närvi see lõputu jauramine ja hädaldamine. Miks pea meedias figureerima alati keegi, kes püüab selgeks teha, kui väga ta kedagi või midagi vihkab. See krt on su isiklik probleem, mitte minu. Mina leian omale muu väljundi. Aga jaa.... Neeme peab ju pildis olema - See pigem on ühe eneseimetleja edevus. Get a Job ja hakka elama. Ja mulle ei meeldi Neeme - prindin artikli välja ja panen põlema. ",2,17,22
raseerimata jalgu ja intiimpiirkonda??????? halloooooo kosmos.......,2,14,24
"kle dauni näoga helen, mine naudi oma aasta ""kodaniku"" auhinda parem. ",2,1,7
"mis hariduse ise saanud oled, põhiharidust küll mitte, muidu poleks koma puudu. hale kloun oled.",2,3,6
"Keegi valitsusest või sm. Rõivas isiklikult? Loe läbi kõigepealt, t.la!",2,1,6
"Esimesena ?!? Kahjuks ei ole ta enam eestiski esimene...........aga edu sellegipoolest , iga võit on teretulnud.",2,0,0
"Tobuke Vilja! Vaata ennast ,oled armetu ripats , elad vist viinauimas koos perehülgajaga!!!!!!!!",2,20,15
KEEGI LUBAS VÄIKSE NARVA TÜDRUKU VARVARA TAPJA LÕIDA. JA SIIA MAANI MITTE MIDAGI. AGA TUHNIDA TEISTE ELUS KUI NAD EI OLE KÜSINUD ABI ON KARISTATAV.,2,14,65
URAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2,22,8
"Rikastume jälle, muudkui rikastume seal Soomes.",1,0,93
eestlane on nii lollakas ... sobibki ainult kirka ja labidas,2,18,8
"Moslemi parim armuke on aastatuhandete jagu olnud juba nende kitsed... asi siis homomultikulti tegelastel seegi ""traditsioon"" üle võtta.",2,1,1
"las nad siis saavad teada, mida tähendab eelistada oma rahvale võõraid meie maal... ",2,6,1
"poliitpolitseile tulebki anda võltsülesandeid. Teha väljakutseid, helistada, et märkasite kahtlast tegevust, kirjutada sotsiaalmeediasse üksteisele tapmisähvardusi(ilma et hiljem laseks end survestada avaldust kirjutama)... Et nad selle ""sõnumi"" kuhja alla upuks! Kunas mundris inimese ründamine on rangelt karistatav tuleb kasutada vahendeid, mida ei saa tõlgendada solvangu või rünnakuna. Tüübid saavad stiilipunktid!",2,13,0
Kui mul mäda peast välja jookseb hakan tegutsema ja nõuan välismaalaste ja ülikoolide likvideerimist! Rahvuslus ei vaja ülikoole vaid kirkasid ja labidaid!,2,13,10
"ilusa näolapiga naist ei saa juuste kärpimisega inetumaks teha . Koguni kiilaks võib end ajada , või punkariharja kanda- näolapp sellest ei muutu ja fantaasiaga inimene kujutab teda endale ette mistahes soenguga Iseasi on erakordselt inetu näogainimesed- seal kujuneb kogu juustega ettevõetav toiming nn. vigade paranduseks .",2,0,3
"Antud puudega inimesel on see ajuhäire kõige suurem ja see juba väga-väga ammu. <a href=""https://www.youtube.com/watch?v=3xWi-Wk5G14"" target=""_blank"">https://www.youtube.com/watch?v=3xWi-Wk5G14</a> ;)",2,2,2
Võin talle seksisõbraks hakata!,2,5,2
"Ta pole ju sportlane, las trikitab ja teeb tsirkust, kuid püüdku mitte arvata liiga palju.",2,28,6
"Kummaline, et algul pussitas meest pagulasterrorist, aga peale tõsist jutuajamist politseis tunnistas mees, et pussitas end siiski ise?",2,0,2
"huvitav millega teda ähvardati? alatu värk ikka, iga hinna eest teeme propagandat ja iga hinna eest peidame nende ahvide kuritegusid. paradox on aga see, et seda ENAM me neid ahve vihkame.",2,1,8
"HÄÄLETAME KELLY AASTA NAISSPORTLASEKS <a href=""https://www.facebook.com/kellyaastanaissportlaseks/"" target=""_blank"">https://www.facebook.com/kellyaastanaissportlaseks/</a>",2,6,12
ja tulemusena maa ei suuda peldikupaberitki toota.,2,3,8
"Silma riivab lõtv ja lötsis tiss, mis pole kuidagi seksikas.",2,5,14
välismaalaseid ???? Ilmselgelt purjakil ajakirjaNIKK !,2,0,2
"see küll paika ei pea, eks see vanduja ise seda kirjutanud ja arvanud on... sõjaväes ja nõukogude külades vandusid ja ropendasid just väga madala intelligentsiga inimesed...<br />ka on seda teinud eestis külades ja kolhoosides, sovhoosides inimesed, kelledel oli vähe haridust lihtne töö ja muu... intelligentne inimene loomulikult ei vannu ega ka ropenda!",2,3,16
tundub et osteti see õpetaja riigi poolt ära. Pagulasi ja nende vägitegusi ei tohi ju avalikustada. ,2,2,12
"pealkiri hoolega läbi, ja kui sul seda intelligentsust natukenegi olemas siis ehk jõuab ka kohale, kas piisav tvandesõnade teadmisest või nende kasutamisest.;)",2,2,0
Kes maksab põliselanikule 2000+ € kuus?? Selline riik ei ole eksistentsi väärt...,1,1,22
"ja tvoi mamu jebal, jobannõi piderass, porvannõi kanton, ja ma ei teadnudki siiani, et intelligent olen. Ja huijeju.",2,0,8
last enneaegselt ära. Laske tal rahulikult areneda.,2,18,16
millises lehes ei ole õhtulehte?,2,0,0
see õõkimaajama näoga eit püünel,2,2,10
 LIISA on ikka Täitsa Kobe.--- pandav veel:<br /> Meile oleks Farmi ühte sellist juhti VÄGA Vaja--<br /> KES ka TÖÖ-- meestest lugu peab ,2,1,6
No kûll promob see isa ikka osavalt oma tûtart,2,66,7
Kas keegi usub ka seda jama?,1,2,24
"...meie Vao nn vägistamslooga! Pooled küla lapsed nägid toimunut pealt aga ohver ""ei mäleta""!",2,1,12
"Tule taevas appi - kas me peame siis palkama tuhandeid inimesi selleks, et neid pärdikuid kõiki jälgida?!? MILLEKS see kõik?!!? On ju ammu selge, et nende ""majandusehitajate"" summaarne tulem on MEELETU KULU ja elukvaliteedi langus. Kõik selleks, et mõned jätised saaks oma taskuid täita.",1,1,16
mul on HÄBI ajakirjaNIKKUDE pärast !!!,2,2,10
arut?,2,2,0
Okupandi järglane mitte venelane,2,2,5
"erikal ju meeste peale ei tõuse, peabki tihkeks jääma, kui erutusmoment puudub.",2,1,2
"tra, mina seda sitta küll ei usu. minge p*rsse oma mölaga.",2,4,18
nad teavad rohkem sõnu kui teised...!,2,0,8
"Aju hakkab genereerima seda mis sinna on sisestatud kui on sisestatud roppusi genereerib neid, mida võimekam aju seda vaheldusrikkamalt ja eri variatsioonidega.",2,0,7
ei tunnista persepanemist see ju haiguslik nähe tekitab haavandeid kriminaalselt vastu näidustatud.kulutatakse maksumaksja raha 1,2,1,16
röhh röhh,2,0,7
Muhahhaa,2,3,2
erikal on tihke vi.tt vlija oma nagu angaar...,2,7,4
"erikal on väga tihke tuss ,viljal nagu lennukiangaar...",2,5,4
PETS VAATA UFO VÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ!,2,14,2
nüüd suurem lits küll kui Vilja. ,2,2,3
"tööandja küsis mu käest, et mis mu hobid on... vastasin, et looma piltide peale pihku panna... sõimas zoofiiliks ja saatis kabinetist minema. palun meid zookaid ka kaitsta...",2,5,19
"Kus on kirjas, et ma seda SOOVIN? Ei ole mõtet teistele sõnu suhu toppida. Oluline, et meil õnnestuks sellest jamast pääseda mis seal varsti lahti läheb.",1,0,13
"Täielikud VÄRDJAD,Kutsun ulesse Eesti rahvast nendele värdjatele klapperjahti pidama.Ja nende vanematele ja nende väärastunud lastele kui neil on neid uldse.Mina omaltpoolt panen neile värdjatele NEEDUSE peale.Et nad sureksid varakult ja piinarikkalt.",2,11,21
"Hakkasin lugema ja esimese lõigu lõpus taipasin vaadata, et kas selle jura on soperdanud Liina. Oligi.",2,0,1
Need on ju litsid kes teiste naiste mehi passivad,2,0,0
".kessu kas teie olete omavahel lesbid korralikud inimesed,et teineteist nii kaitsete.Minul oleks kohe ühte lesbi paari juurde.Sina hakkad algul lonti tõmbama,siis ei lobise niipalju.Lepime koha kokku kus kohtume.",2,2,1
"""Suur täht"" võis olla spordis aga muidu oli LITS!",2,1,1
Kes seda LITS Erikat nii väga tahtis....? Kas sina või...?,2,5,4
Allahu akbar,2,11,9
Euroopa vajab ISISE tugevat ja ausat nugadega kätt.,2,1,1
Karin on oma mehe lits kelle poolt on väga südamlik lugu.Mitme vasika lehm on sinu naine kui sul perferdil üldse naist on.,2,2,2
Kassid ei salli kebabi lõhna.,2,1,3
See poisi ema tehku omad närvid korda ja ärgu süüdistagu teisi kui ei oska last kasvatada.Ennustaja mehe jutt on õige mis peab paika.,2,26,6
munadega vanaema oled idioot.,2,6,5
kõik eelistavad ahvi oma - tilgub mäda ...,2,1,2
"No ei ole üllatav, no ei ole - need feministid ja ""sallijad"" on paljud tegelikult psühhopaadid. See ei ole inimese normaalne seisund kui ta eelistab võõraste huve omade huvidele. Sellised inimesed vajavad ravi, mitte propageerimist.",1,8,10
"Jah, sest nii LOLL ei saa kirjaoskaja inimene ilmselgelt olla.",1,0,76
"Kahju tunnistada, aga asja võib päästa ainult mastaapne verevalamine... vastasel juhul on ~50 aastaga (Lääne-) Euroopa sellisena nagu meie seda teame kadunud.",1,1,109
" 1:: MIDA ÜTLEB KA KOHUSTAB EESTIS PÕHISEADUS ::<br /> VOT KUI VALITSUS ,,ISANDAD JA ÜLBIKUD MINISTRID EI TÄIDA ""PÕHISEADUST.<br /> SIIS --NÄETE ISE ---MEIE OMA VAESUNUD RAHVA TAGAJÄRGI --VEEL PALJU SUUREMAID; KURITEGUSID --RÖÖVIMISI-- JA ÜKSKI RIIGIMEES SIND EI KAITSE::<br /> AEG ON RELVASTUDA --POLITSEI JÕUETUSE PÄRAST,,<br /> 1::JA 2016,,, AJADA PIIRILE EESTI KAITSVÄGI JA <br /> RAHVA TURVALISE ELUKESE TAASTAMISEKS VÄIKSES EESTIS<br /> IGAS MAAKONNAS --PALUME TÖÖLE OMA SUUREMA KAITSELIIDU ,""""MIDA RAHASTAB KA MAAKONNA AMETNIKUD --KOOS VABATAHTLIKEGA !,,<br /> OMA RIIGIS --SAAME -- KORRA SIIS --KUI ENAM EI KUULA ISANDAID """"",2,5,7
"VÕTA HEAKS!PANEKS KOHE MITU MIINUST,AGA KAHJUKS EI ANNA PANNA.",2,4,11
"R PANE OMA JALGE VAHELE --JÕULUKS KA SINNA RIPPUMA ,,<br /> SAAB KASSIKE --KA MÄNGIDA",2,4,10
" Lisa: roivas, pihkur ja käsilased.......",2,1,18
"kahepalgeline s.tapea see mees. ah et lapsi? selline poeb kurjategija eest ka lapse selja taha. laps- kui võlusõna...laps- kui rohkem kaastunnet esile kutsuv inimolend... täiskasvanu otsimine ei too niipalju ""kuulsust"". kammib järve läbi???? st. otsib surnukeha. miks peaks riik surnukehi otsima? jah, lähedased tahavad ja peavad saama selgust, aga ärme aja lähedaste tundeid ja riigi kohustusi segi. laskem miinustel nüüd vohada .",2,35,7
RIIK POLE MEIE LIHT-RAHVA JAOKS KUNAGIMIDAGI HEAD TEINUD JA NÜÜD SOOVITE TEIE KALLID MEHED ET RIIK HAKKAKS OTSIMA KADUNUD INIMESI.OI EI MA ARVAN.KURB AGA TÕSI.,2,5,20
uus nädal ja jälle ÕL.pede teemaga pukis .,2,1,10
Elagu mustad,2,19,5
"Mingi paari krantsi rüselus on õõvastav, külakoerad kaklesid vanasti koertepulmades kordi hullemini, palju hullem , et koer peab elu aeg ketis olema...",2,4,2
"küsida, kus see ässitamine on ? Valge koer ründas kuna ei kannatanud enam et musta koera hellitati ja silitati ja ründas teist Tüüpiline nähtus koerte juures. Koerte kaklusi silitustega ei lahutata ja mingit kuritegu siin ei ole. Antud hetkel tegelevad siinsed kommentaatorid viha ja vaenu õhutamisega nende noorte meeste vastu.",2,5,4
käige p....i ---kassivihkajad!!!!!!!!!!!!!!!!,2,0,2
"Sina, elementaarne, külvad siin oma süüdistusega jälle vastupidist hoiakut - nõretavat russofiilsust. Piisab, kui loed oma rohked kommentaarid uuesti üle. Samuti vaata enne millegi lõpetamise juttu korraks peeglisse. ",2,11,4
"kiitus selle tibile kes selle video üles riputas ,teeks lausa rahalise preemia ",2,5,17
Trollidele ja putinoididele oleks nagu konnasilmale astutud. Muudkui vahutavad. Ju said Moskvast erikorralduse. Lööktööks ja ületundideks.,2,9,6
idiootsemat sõna kui ÕÕVASAV annab üldse välja mõelda! Mis siis saab kui ajakirjanikuhakatis näeb videot kus tsetseenid 6 vene noorsõduril kõrid läbi lõikavad ja need oma vere sisse ära uppusid? Minestab jalapealt ära? Tegu ise-enesest paha kuid pealkirjad võiks ikka vastavusse sisuga panna!,2,12,8
"Venemaa polnud mitte Euroopa ärapäästja vaid raipesööja, kes alles siis saagi jagamisele tõttas, kui Euroopa juba Türgi selgroo oli murdnud. Ka sellest oma esmavõidust, Azovist jäi Peeter ilma, kui ta pärast Poltaavat suure hurraaga Türgi alasid ründas. Kui sai peksa ja pidi rahu paluma, seejuures kõik vallutatud alad ja Azovi Türgile tagastama.<br />Türgi kaugeimad retked Euroopasse olid Viini piiramised 1529 ja 1683.a. Mõlemad ebaõnnestusid. Esimesel juhul tuli talv peale ja türklasi niitsid nii nälg kui ka haigused. Samuti lõppes toit ja püssirohi. Nii et pidid taanduma. Ja 1683.a. ei päästnud Euroopat ja Viini mitte ""maailma päästvad venelased"" vaid hoopiski Poola kuningas Jan III Sobieski ning tema poolakad, kes Viini all türklasi lõid. Pärast Zenta all said osmanid 1697.a. hävitavalt lüüa Austrialt, Savoia prints Eugenilt. Nii et pidid rahu sõlmima. <br />Pärast Peeter I edukat purustamist Pruti jõel üritas sultan Ahmed III võtta revanši ka Austria vastu, kuid sai mitmeaastases sõjas taas Savoia printsilt Eugenilt peksa ja loovutas 1717.a. Austriale hulga maid. Tärgil oli võhma Austria vastu ka veel 30-ndatel aastatel, kuid taas edutult. Aursai otsa. Ja vaat siis asuski raipesööja Venemaa läbipekstud Türgi maid endale haarama. Alles siis käis ta jõud Türgist üle.",2,3,6
Kuule sina kanasõber ! Kas polnud siis näha ei kutt ässitas ehk siis silitas seal nii kau kui puremiseks läks ? Täiesti debiilikud ikka küll see maa õhk ja elu teevad olemise raskeks !,2,4,11
"sotsiaalmeedia idikad on jälle hysteerias. kes vähegi koerte käitmist tunneb, näeb, et mingit kaklemisele õhutamist ei olnud. lihtsalt ketikoer läks lõpuks klähvivale noorele koerale kallale. jobud oleksid lihtsalt pidanud kiiremini ja resoluutsemalt koerad ära lahutama, mida nad ka lõpuks tegid. aga nüüd muidugi interneti-lollakatel jätkub nuttu ja hala kauemaks",2,20,8
